name,contact,location,capacity,type
Triple Circle Industrial Co.ltd.,"09426962635, 09891669897, 09969419894, 09965956163",မင်္ဂလာစစ်ကိုင်းကျောက်မျက်ရတနာစျေးကြီး,,ဆိုလာများတပ်ဆင်ထားသောကြောင့်ရေမီးနှင့်ညအိပ်နားနေရန်အဆင်ပြေပါသောကြောင်းအောက်ပါဖုန်းနံပါတ်များကိုဆက်သွယ်စာရင်းပေးနိုင်ပါတယ်
,09772011675,60x102,,ငလျင်ကြောင့်နေစရာအခက်ခဲရှိသူများ ခြံအလွတ်အကျယ်မှာလာရောက်နေနိုင်ပါတယ်
